Work Item Type,Title,Description,Priority,Business Value,Story Points,Effort,Tags,Parent,Assigned To,Area Path,Iteration Path,Acceptance Criteria
Feature,Marketplace Integrado,Integración con tiendas de jardinería online,2,25,13,13,marketplace;shopping;integration,Detección de Enfermedades y Marketplace,Backend Developer,Asistente Plantitas\Marketplace,Sprint 4,"- Productos recomendados - Comparación precios - Tiendas cercanas - Enlaces compra"
User Story,Registro de Usuario,Como usuario nuevo quiero registrarme con email y contraseña para acceder a la aplicación,1,20,5,5,auth;registration;backend;frontend,Sistema de Autenticación,Backend Developer,Asistente Plantitas\Backend,Sprint 1,"DADO usuario nuevo CUANDO ingresa email/contraseña ENTONCES cuenta creada Y puede login"
User Story,Login de Usuario,Como usuario registrado quiero hacer login para acceder a mis plantas,1,20,5,5,auth;login;jwt;session,Sistema de Autenticación,Frontend Developer,Asistente Plantitas\Frontend,Sprint 1,"DADO usuario registrado CUANDO credenciales correctas ENTONCES acceso dashboard Y sesión 30min"
User Story,Seguridad JWT,Como usuario quiero que mi sesión sea segura con JWT tokens,1,15,3,3,security;jwt;token;validation,Sistema de Autenticación,Backend Developer,Asistente Plantitas\Backend,Sprint 1,"DADO usuario logueado CUANDO peticiones API ENTONCES JWT validado Y expira tras inactividad"
User Story,Subida de Fotos,Como usuario quiero subir fotos desde mi dispositivo,1,25,3,3,upload;images;blob-storage,Gestión de Imágenes,Frontend Developer,Asistente Plantitas\Frontend,Sprint 1,"DADO usuario autenticado CUANDO selecciona imagen ENTONCES sube servidor Y confirmación éxito"
User Story,Captura con Cámara,Como usuario quiero tomar fotos con la cámara directamente,2,20,3,3,camera;capture;mobile;web,Gestión de Imágenes,Frontend Developer,Asistente Plantitas\Frontend,Sprint 1,"DADO usuario móvil/web CUANDO activa cámara ENTONCES toma foto Y procesa automático"
User Story,Preview de Imagen,Como usuario quiero ver preview antes de subir la foto,2,15,2,2,ui;preview;validation;ux,Gestión de Imágenes,Frontend Developer,Asistente Plantitas\Frontend,Sprint 1,"DADO imagen seleccionada CUANDO revisa ENTONCES preview editar/confirmar Y cancelar/continuar"
User Story,Identificación Automática,Como usuario quiero que identifique automáticamente la especie de mi planta,1,40,8,8,ai;identification;automation,Motor de Identificación IA,IA/ML Specialist,Asistente Plantitas\AI,Sprint 2,"DADO foto planta CUANDO procesa ENTONCES identifica especie Y muestra confianza"
User Story,Información de Especie,Como usuario quiero ver información detallada de la planta identificada,1,30,5,5,information;species;details,Motor de Identificación IA,Frontend Developer,Asistente Plantitas\Frontend,Sprint 2,"DADO planta identificada CUANDO ve resultados ENTONCES info completa especie Y cuidados básicos"
User Story,Historial Personal,Como usuario quiero ver mis plantas identificadas anteriormente,1,25,5,5,history;gallery;personal,Gestión de Resultados,Frontend Developer,Asistente Plantitas\Frontend,Sprint 2,"DADO usuario con historial CUANDO accede galería ENTONCES ve plantas previas Y puede buscar"
User Story,Chat Consejos,Como usuario quiero hacer preguntas sobre el cuidado de mi planta,1,35,8,8,chat;advice;questions,Chat IA Inteligente,IA/ML Specialist,Asistente Plantitas\AI,Sprint 3,"DADO planta identificada CUANDO pregunta cuidados ENTONCES respuesta personalizada Y contextual"
User Story,Consejos Estacionales,Como usuario quiero recibir recomendaciones según la estación,2,25,5,5,seasonal;advice;recommendations,Consejos Automatizados,Backend Developer,Asistente Plantitas\Backend,Sprint 3,"DADO época año CUANDO ve planta ENTONCES consejos estacionales Y recordatorios"
User Story,Detección Enfermedades,Como usuario quiero que detecte si mi planta está enferma,1,40,8,8,diagnosis;disease;detection,Diagnóstico IA Avanzado,IA/ML Specialist,Asistente Plantitas\AI,Sprint 4,"DADO foto planta CUANDO analiza ENTONCES detecta enfermedades Y nivel severidad"
User Story,Recomendación Productos,Como usuario quiero ver productos recomendados para mi planta,2,20,5,5,products;recommendations;shopping,Marketplace Integrado,Backend Developer,Asistente Plantitas\Marketplace,Sprint 4,"DADO problema identificado CUANDO ve tratamientos ENTONCES productos relevantes Y enlaces compra"
Task,Configurar FastAPI,Setup inicial de FastAPI con estructura MVC,1,,5,5,backend;setup;fastapi;mvc,Registro de Usuario,Backend Developer,Asistente Plantitas\Backend,Sprint 1,"Proyecto FastAPI inicializado - Estructura carpetas - Configuración básica - Health check"
Task,Modelos Usuario SQLAlchemy,Implementar modelos de usuario con SQLAlchemy ORM,1,,8,8,backend;models;sqlalchemy;database,Registro de Usuario,Backend Developer,Asistente Plantitas\Backend,Sprint 1,"Modelo User campos - Migraciones Alembic - Relaciones BD - Validaciones modelo"
Task,Endpoints Auth JWT,Crear endpoints de autenticación con JWT tokens,1,,13,13,backend;auth;jwt;api,Login de Usuario,Backend Developer,Asistente Plantitas\Backend,Sprint 1,"POST /auth/register - POST /auth/login - Middleware JWT - Validaciones rate limit"
Task,API Subida Imágenes,Desarrollar API de subida de imágenes,1,,8,8,backend;images;upload;api,Subida de Fotos,Backend Developer,Asistente Plantitas\Backend,Sprint 1,"POST /images/upload - Validación archivos - Azure Blob Storage - Respuestas error"
Task,Setup Angular Tailwind,Configuración inicial Angular con Tailwind CSS,1,,5,5,frontend;angular;tailwind;setup,Registro de Usuario,Frontend Developer,Asistente Plantitas\Frontend,Sprint 1,"Angular 17 config - Tailwind integrado - Estructura componentes - Routing básico"
Task,Componentes Login/Registro,Implementar componentes de autenticación con validaciones,1,,13,13,frontend;components;auth;forms,Login de Usuario,Frontend Developer,Asistente Plantitas\Frontend,Sprint 1,"LoginComponent - RegisterComponent - Reactive Forms - UI responsiva Tailwind"
Task,Servicio Autenticación,Crear servicio Angular para autenticación,1,,8,8,frontend;service;auth;http,Seguridad JWT,Frontend Developer,Asistente Plantitas\Frontend,Sprint 1,"AuthService - HTTP interceptor - Token storage - Estado autenticación"
Task,Componente Upload Fotos,Desarrollar componente de subida de fotos,1,,8,8,frontend;component;upload;camera,Captura con Cámara,Frontend Developer,Asistente Plantitas\Frontend,Sprint 1,"Upload component - Camera integration - File validation - Preview functionality"
Task,Docker Compose Setup,Configurar Docker Compose para desarrollo,1,,5,5,infrastructure;docker;development,Infraestructura Base,DevOps Engineer,Asistente Plantitas\DevOps,Sprint 1,"docker-compose.yml - Servicios definidos - Volúmenes configurados - Network setup"
Task,PostgreSQL Migraciones,Setup PostgreSQL con migraciones Alembic,1,,8,8,infrastructure;postgresql;migrations,Infraestructura Base,DevOps Engineer,Asistente Plantitas\DevOps,Sprint 1,"PostgreSQL container - Alembic config - Migraciones iniciales - Scripts backup"
Task,Pipeline CI/CD,Configurar Azure DevOps pipelines,1,,8,8,infrastructure;cicd;azure;pipeline,Infraestructura Base,DevOps Engineer,Asistente Plantitas\DevOps,Sprint 1,"Build pipeline - Test automation - Deploy stages - Notifications config"
Task,Integración PlantNet,Integrar y configurar PlantNet API,1,,13,13,ai;plantnet;api;integration,Identificación Automática,IA/ML Specialist,Asistente Plantitas\AI,Sprint 2,"API PlantNet config - Manejo respuestas - Formato datos - Documentación uso"
Task,Procesamiento Imágenes,Crear servicio procesamiento imágenes para IA,1,,8,8,ai;image-processing;preprocessing,Identificación Automática,IA/ML Specialist,Asistente Plantitas\AI,Sprint 2,"Redimensionado automático - Mejora calidad - Validación formato - Optimización IA"
Task,Cache Resultados IA,Sistema de cache para resultados identificación,1,,5,5,ai;cache;performance,Identificación Automática,Backend Developer,Asistente Plantitas\Backend,Sprint 2,"Redis integration - Cache strategy - TTL configuration - Invalidation logic"
